benchmark_id,elite_rate,elimination_rate,seed,best_value,error,time
CEC2022_F1,0.05,0.1,145415183,6730.6280592459816035,6430.6280592459816035,1.518699
CEC2022_F1,0.05,0.1,2487350364,7420.9654091388892994,7120.9654091388892994,1.515166
CEC2022_F1,0.05,0.1,3686646044,10834.7181165035271988,10534.7181165035271988,1.524813
CEC2022_F1,0.05,0.1,3678671351,12524.4033962459034228,12224.4033962459034228,1.495778
CEC2022_F1,0.05,0.1,524986831,12249.3234908761842235,11949.3234908761842235,1.498520
CEC2022_F1,0.05,0.1,1459918617,8272.1919170894252602,7972.1919170894252602,1.509326
CEC2022_F1,0.05,0.1,1638605194,11653.4380036103466409,11353.4380036103466409,1.508132
CEC2022_F1,0.05,0.1,1884120510,7733.1185965482227402,7433.1185965482227402,1.521261
CEC2022_F1,0.05,0.15,2894928748,10345.3544514016648463,10045.3544514016648463,1.549001
CEC2022_F1,0.05,0.15,1806734915,9198.0044347264083626,8898.0044347264083626,1.534114
CEC2022_F1,0.05,0.15,3217235270,9809.7006374363754730,9509.7006374363754730,1.511317
CEC2022_F1,0.05,0.15,1790284968,15970.9739215886547754,15670.9739215886547754,1.512041
CEC2022_F1,0.05,0.15,3866555287,15567.4345996141582873,15267.4345996141582873,1.512014
CEC2022_F1,0.05,0.15,1850582270,11590.3117794210447755,11290.3117794210447755,1.536119
CEC2022_F1,0.05,0.15,77564218,3125.9767715381462949,2825.9767715381462949,1.524174
CEC2022_F1,0.05,0.15,2900478716,7249.4838497429882409,6949.4838497429882409,1.512648
CEC2022_F1,0.05,0.15,2658924762,8228.9803350300098828,7928.9803350300098828,1.505809
CEC2022_F1,0.05,0.15,4255501078,13531.4847395085580501,13231.4847395085580501,1.500853
CEC2022_F1,0.05,0.15,1632872662,12385.3507943607819470,12085.3507943607819470,1.512108
CEC2022_F1,0.05,0.15,904221688,12880.4014464500869508,12580.4014464500869508,1.505523
CEC2022_F1,0.05,0.15,4030529564,13468.8260112358875631,13168.8260112358875631,1.530215
CEC2022_F1,0.05,0.15,619566366,8966.8199638551122916,8666.8199638551122916,1.563946
CEC2022_F1,0.05,0.15,3493902821,12170.6727825614234462,11870.6727825614234462,1.509297
CEC2022_F1,0.05,0.15,2974449495,9335.4720002202338947,9035.4720002202338947,1.511157
CEC2022_F1,0.05,0.15,2545965601,11082.0321713906887453,10782.0321713906887453,1.502158
