elite_rate,elimination_rate,benchmark_id,run_times,best,mean,std,mean_error,median_error,std_error,mean_time
0.2,0.1,CEC2022_F3,30,600.0148788486049,600.033303990823,0.012157561520659067,0.033303990822874614,0.03303390508733628,0.012157561520659067,1.5094796300011997
0.2,0.15,CEC2022_F3,30,600.0082129231133,600.0330887326285,0.01192335004613297,0.03308873262850132,0.031164094128826036,0.01192335004613297,1.519333100002647
0.2,0.2,CEC2022_F3,30,600.0077197963777,600.0297724649948,0.012405244496695595,0.029772464994812252,0.03159976846154677,0.012405244496695595,1.5266944433319927
0.2,0.25,CEC2022_F3,30,600.0101813426635,600.0336892927802,0.012451550855680789,0.03368929278015761,0.03264853146572477,0.012451550855680787,1.541127043333836
0.25,0.05,CEC2022_F3,30,600.0186883709064,600.0309291370094,0.008973616871329953,0.030929137009411533,0.03125339658339499,0.008973616871329953,1.528420959999979
0.25,0.1,CEC2022_F3,30,600.0107669033927,600.0281761139739,0.012109151240626467,0.028176113973772014,0.027577572905215675,0.012109151240626467,1.5354553333318715
0.25,0.15,CEC2022_F3,30,600.0056165909217,600.0309062050824,0.012512432381913949,0.030906205082419546,0.02976445256763327,0.012512432381913947,1.6555383600013254
0.25,0.2,CEC2022_F3,30,600.0090113698392,600.0308084762001,0.012947054398215672,0.030808476200263613,0.028751895368088753,0.01294705439821567,1.5996267933340278
0.25,0.25,CEC2022_F3,30,600.0121006044129,600.0293615345512,0.011309016267252676,0.02936153455123455,0.027755537392181395,0.011309016267252676,1.607959376667471
0.05,0.05,CEC2022_F4,30,808.266386648936,821.1902199446517,6.6078524096446944,21.190219944651673,22.521084019899092,6.607852409644695,1.3814583433326333
0.05,0.1,CEC2022_F4,30,811.2994615914323,821.1169273086201,5.214910841512966,21.116927308620134,22.030147163590016,5.214910841512966,1.397304909999366
0.05,0.15,CEC2022_F4,30,812.4548483884739,820.7040022725574,4.942950945517036,20.70400227255719,21.474328261307733,4.942950945517036,1.4025285833360006
0.05,0.2,CEC2022_F4,30,811.7447062034637,820.3473614359192,4.856070420336385,20.347361435919066,20.900052017688893,4.856070420336384,1.413588030000877
0.05,0.25,CEC2022_F4,30,808.9464602804782,819.5399163710968,4.992468735330879,19.539916371096705,18.967721353553884,4.99246873533088,1.4205884299978304
0.1,0.05,CEC2022_F4,30,809.0574727974054,821.7123603872859,5.422016855582997,21.71236038728591,22.195644734063137,5.422016855582996,1.41199524999732
0.1,0.1,CEC2022_F4,30,810.0600448678229,821.7642314122711,4.519796287278211,21.764231412271062,22.747011692439116,4.519796287278211,1.4219288233328067
0.1,0.15,CEC2022_F4,30,810.9854521687633,819.4135988057099,5.604563200408836,19.413598805709913,20.051083222311718,5.604563200408837,1.4275946366678303
0.1,0.2,CEC2022_F4,30,813.4609074886404,820.7750288199808,4.507132076823719,20.775028819980797,20.644501827759257,4.507132076823719,1.4353009899990865
0.1,0.25,CEC2022_F4,30,809.2614010311132,820.0470892647065,5.871750516111476,20.047089264706493,19.701727623838167,5.871750516111475,1.4389003500002824
0.15,0.05,CEC2022_F4,30,804.61564319435,820.958253879027,5.980830644365424,20.958253879026863,20.22161471469059,5.980830644365424,1.4333502566703828
0.15,0.1,CEC2022_F4,30,812.2154160282163,820.7512914786403,4.7694456821823605,20.751291478640336,20.659259424692664,4.7694456821823605,1.446713540001656
0.15,0.15,CEC2022_F4,30,810.5214116674246,818.4107089783203,4.729778515370194,18.410708978320205,18.899084184078845,4.729778515370194,1.4527496399998199
0.15,0.2,CEC2022_F4,30,807.1439777994676,819.6862212075393,4.6052068061390115,19.686221207539493,20.983744367419263,4.6052068061390115,1.463661363333813
0.15,0.25,CEC2022_F4,30,809.4889153119694,820.0322107486136,4.632873345359413,20.03221074861359,21.105384643386003,4.632873345359413,1.4737062699986079
0.2,0.05,CEC2022_F4,30,807.5281606174971,820.3200862476626,6.289783976711289,20.32008624766257,19.946314656937716,6.2897839767112895,1.4472681333378812
0.2,0.1,CEC2022_F4,30,807.2875341078603,819.859279939769,6.128663811001534,19.859279939769063,20.140337250029404,6.128663811001534,1.4560921533353395
0.2,0.15,CEC2022_F4,30,807.1796430286171,820.4770042234501,5.931706497997857,20.477004223450063,21.238879146757995,5.931706497997857,1.4664639099986136
0.2,0.2,CEC2022_F4,30,807.435837441367,819.8546922961465,4.8882128555853885,19.854692296146524,20.297836592325496,4.8882128555853885,1.4769080100008674
0.2,0.25,CEC2022_F4,30,807.8719041151365,819.9727682366852,5.192296651896357,19.97276823668512,20.72709025815169,5.192296651896356,1.4835327933338704
0.25,0.05,CEC2022_F4,30,809.1272185822329,820.1106991192843,6.221025507819005,20.110699119284238,20.118892859914467,6.221025507819004,1.4769901966676116
0.25,0.1,CEC2022_F4,30,810.1886700797398,821.0837279489416,5.174073514537599,21.083727948941586,21.865876117688913,5.174073514537599,1.4886764933296945
0.25,0.15,CEC2022_F4,30,807.4293608363084,819.3335974124163,5.481561070904712,19.33359741241632,20.489633239305988,5.481561070904712,1.5009701666635615
0.25,0.2,CEC2022_F4,30,810.1257646821889,821.1835027475397,4.455895449510281,21.183502747539666,20.946927475940015,4.455895449510281,1.5005996299994877
0.25,0.25,CEC2022_F4,30,812.7283516983173,821.0433889777736,4.382319602569135,21.043388977773635,20.499014627254383,4.382319602569135,1.5102179766632617
0.05,0.05,CEC2022_F5,30,964.7722168902837,1155.6067422760905,144.45596352797304,255.60674227609044,251.38279622417656,144.455963527973,1.6798982700022558
0.05,0.1,CEC2022_F5,30,923.2122919048614,1101.984147825913,124.69684138096453,201.9841478259132,199.02172199489564,124.69684138096454,1.7823842866637278
0.05,0.15,CEC2022_F5,30,925.8370431660237,1112.9006104623868,97.97291624556776,212.90061046238665,216.18062506847673,97.97291624556776,1.6999432233327145
0.05,0.2,CEC2022_F5,30,919.9159661517908,1084.6994995992798,98.66100664323298,184.6994995992799,172.09099233555662,98.66100664323298,1.696472880000753
0.05,0.25,CEC2022_F5,30,935.1060770296549,1065.8615986911764,90.18991032875796,165.86159869117645,154.16055588212703,90.18991032875796,1.7262365300004603
0.1,0.05,CEC2022_F5,30,912.6252588635032,1105.7266697591444,127.60483175292943,205.72666975914473,195.41753218006306,127.60483175292941,1.7113333099958254
0.1,0.1,CEC2022_F5,30,977.5628819690425,1140.5283566738083,97.61801117749572,240.52835667380822,252.61067565069038,97.61801117749572,1.7144420833317175
0.1,0.15,CEC2022_F5,30,919.0417993228908,1088.4025181845857,108.48624129831131,188.40251818458574,180.0809927670897,108.48624129831133,1.7280248366645536
0.1,0.2,CEC2022_F5,30,937.0030277121815,1085.9999455616141,125.63735852550755,185.99994556161428,144.89961052108913,125.63735852550757,1.7480304800003068
0.1,0.25,CEC2022_F5,30,911.1986126257964,1100.9252184346187,117.79248154966419,200.92521843461859,210.85886644893026,117.79248154966419,1.7615239466666632
